absolute direction | a definite direction that never changes
agricultural revolution | the significant transformation of human societies that began around 10,000 years ago, marked by the transition from hunting and gathering to farming
agricultural subsidies | financial support provided by governments to farmers to enhance agricultural production and stabilize food prices
agricultural surplus | the production of more food than is necessary to feed a population
agriculture | the process by which humans alter the landscape in order to raise crops and livestock for consumption and trade
agriscape | a landscape dominated by agricultural activity
agroecology | an ecological approach to agriculture that emphasizes sustainable practices, biodiversity, and the interaction of agricultural systems with their environment
agroecosystem | an ecosystem modified for agricultural use
agroforestry | a land use management system that integrates trees with crops or pasture (AKA agro-sylviculture AKA forest farming)
agrourban interface | the zone where agricultural land meets urban development
aided diffusion | the spread of cultural traits through the influence of a third party or intermediary
air pollution | the contamination of air due to the presence of pollutants in the atmosphere
air quality index | a measure used to communicate how polluted the air currently is or how polluted it is forecast to become (AKA AQI)
albedo | the measure of reflectivity of a surface, often used in climate studies
albedo effect | the ability of a surface to reflect sunlight, measured as a ratio of reflected to incoming solar radiation
Alexander von Humboldt | a German geographer who collected and analyzed biogeographical data about the relationships between the spatial distribution of rocks, plants, and animals
Alfred Weber | a German geographer who devised a model of how to understand industrial locations in regard to several factors, including labor supply, markets, resource location, and transpiration
Allah | the Arabic word for God in Islam, representing the singular, all-powerful deity worshiped by Muslims
alliance | a formal agreement between two or more nations for mutual benefit
allocational boundary disputes | boundary disputes in which two or more parties disagree on how boundaries separate natural resources (AKA resource boundary disputes)
almsgiving | giving of wealth or volunteering for charitable causes
Altaic language family | a proposed language family including Turkish and Mongolic languages
alternative energy | energy generated from sources other than fossil fuels, such as wind, solar, and geothermal
alternative energy sources | energy derived from non-traditional, renewable sources
amalgamation | the blending of different cultural or ethnic groups into a single, unified group, often resulting in a new cultural identity (AKA cultural fusion)
amenity migration | the movement of people to areas, especially rural areas, in search of perceived higher quality of natural environment and/or distinctive culture
amenity space | areas in urban environments designed for public enjoyment and recreation (AKA green space)
American Colonization Society | an organization founded in the early 19th century aiming to repatriate freed African Americans to Africa
analysis | thinking about data and coming to conclusions about it
analyze | to break down into parts and study each part carefully
Anatolian theory | the Proto-Indo-European language diffused from Anatolia near modern-day Turkey several thousand years before the Kurgan migration
ancient civilizations | early complex societies characterized by urban development, social stratification, and cultural achievements
animal domestication | the process through which wild animals are tamed and bred for human use, such as for food, labor, or companionship
animism | belief that non-living objects had spirits
annexation | the process of legally adding territory to a city
anocracy | a government that exhibits both democratic and autocratic tendencies
antecedent boundary | a boundary that preceded the development of the cultural landscape
anthropocene | a proposed geological epoch marked by significant human impact on the Earth’s geology and ecosystems
anthropocentric view | a perspective that places humans at the center of consideration in relation to the environment
anthropocentrism | a viewpoint that places humans at the center of environmental concerns, often prioritizing human needs over ecological considerations
anthropoclimatics | the study of how human activities influence local and regional climate patterns
anthropogenic | originating from human activity, often used in the context of environmental impacts
anthropogenic climate change | changes in the climate caused by human activity, particularly industrialization and agricultural practices that release greenhouse gases into the atmosphere
anthropogenic effects | environmental changes resulting from human activity, such as pollution, deforestation, and urbanization
anthropogeography | the study of human influence on the geographical environment
anthropogeomorphology | the study of how human activities shape and modify physical landforms over time
anthroposophy | a philosophy that posits a spiritual approach to understanding human development and society
antibiotics | pharmaceuticals to fight off bacterial infections
antinatalist policies | policies that attempt to decrease the numbers of births in a country
apartheid | a policy of institutionalized racial segregation and discrimination in South Africa
aquaculture | a type of intensive farming where marine plants and animals are raised in netted areas in bodies of water (AKA aquafarming)
aquafer urbanism | urban planning that integrates water management and sustainability
aqualogistics | the management of water-based transportation and resource distribution systems
aquatic urbanism | the development of cities or infrastructure designed to coexist with or adapt to water-based environments
aquifers | layers of underground sand, gravel, and rocks that contain and can release a usable amount of water
Arabic | a Semitic language spoken in many countries across the Middle East and North Africa, known for its script and dialectical diversity
arable land | land suitable for growing crops
arbitrary arrest | the arrest or detention of a person without legal basis, due process, or a fair trial
archipelagic state | a nation composed entirely of islands (AKA island nation)
archipelagic urbanism | a planning approach for cities spread across islands, focusing on connectivity and sustainability
archipelago | a group or chain of islands, often formed through volcanic activity or rising sea levels
areas of human development | health, knowledge, and standard of living
arid climate | a climate characterized by very low annual rainfall
arithmetic population density | the population density calculated by dividing a region’s population by its total area
artifacts | material objects of a culture
artificial boundary | a boundary created by humans
aspirational migration | the movement of individuals seeking to improve their social and economic status by relocating to more prosperous areas
assembly line | a manufacturing process in which individual parts of a product are assembled in a sequential manner
assimilation | one culture fully adopting one's customs and traditions
Association of Southeast Asian Nations | an organization seeking mutually-beneficial trade agreements in Southeast Asian nations (AKA ASEAN)
asylum | right to protection in a country
asylum seeker | a person seeking protection in another country due to persecution
asymmetrical migration | migration flows characterized by unequal exchange between origin and destination regions
asynchronous migration | migration patterns that occur at irregular intervals or without predictable timing
atmospheric circulation | the large-scale movement of air in the Earth's atmosphere, driven by differences in temperature and pressure
atoll | a ring-shaped coral reef, island, or series of islets that encircle a lagoon
Austro-Asiatic language family | a language family found in Southeast Asia and parts of India, including Khmer and Vietnamese
Austronesian language family | a language family spread across the Pacific and Indian Oceans, including Tagalog and Hawaiian, known for its maritime culture
Auto-Air-Amenity Epoch | a time period of urban history from 1920-1970 described in Borchert's transportation model in which cars and air travel enabled suburbanization and interconnected cities
autonomous region | a distinct region within a country that has some degree of self-governance or independence from the central government
Azimuthal projection | a map that preserves direction but distorts shape and area, showing only one hemisphere
baby boom | a spike in the birth rate
baby bust | a lowering in birth rates once a baby boom ends
back offices | the support functions that operate behind the scenes, including accounting, data processing, and administrative tasks, which typically have minimal direct client contact
backward linkage | economic activities that support and supply raw materials to primary industries
backward reconstruction | the process of tracing a language’s development back to its origins through comparative analysis
backwash efect | the negative impact on one area due to the economic growth of another, often seen in regional development
backwash effect | the negative impacts of economic growth in a core region on peripheral regions
backwash effects | negative effects on one region that result from economic growth in another region
balkanization | the fragmentation of a state or region into smaller units along ethno-linguistic lines
Bantu languages | a large family of languages spoken in sub-Saharan Africa, including Swahili and Zulu
barbed wire | a type of fencing wire with sharp edges or points, commonly used to enclose livestock and mark property boundaries
barriadas | illegal housing settlements, usually made up of temporary shelters, that surround large cities
barrier effect | a phenomenon in human geography where physical or social barriers inhibit the movement of people, goods, or ideas
barrier island | a coastal landform that protects the mainland from waves and storms
barrio | the Spanish word for 'neighborhood'
barriozation | the dramatic increase in Hispanic population in a given neighborhood
barter | the act of exchanging goods or services directly between individuals without the use of money
basic economic activities | actions that create new wealth for a region
basic industries | sectors involved in the extraction and production of raw materials that are fundamental to other industries' manufacturing processes
bedroom communities | residential suburbs where most residents live and commute to a nearby larger city for work (AKA commuter suburbs)
Berlin Conference (1884) | a conference of major European powers to divide the African continent into colonial spheres of influence (AKA Congo Conference)
bid-price curve | a graphical representation showing how the price of land decreases as the distance from the central business district of a city increases (AKA bid-rent curve)
bid-rent theory | a geographical economic theory that refers to how the price and demand for real estate change as the distance from the central business district (CBD) increases
bilingualism | the ability to speak and understand two languages fluently
biocapacity | the capacity of an ecosystem to generate renewable resources and absorb waste
bioclimatic urbanism | the integration of climate-responsive design principles into urban planning to enhance environmental sustainability
biocultural diversity | the interconnectedness of biological and cultural diversity in a region
biodegradable waste | organic waste that can be decomposed by natural processes, reducing environmental impact
biodemography | the study of the interplay between biological factors and demographic trends in populations
biodiversity | the variety of life in a particular habitat or ecosystem
biodiversity hotspot | a biogeographic region with a significant amount of biodiversity that is threatened by human activities
biodynamic farming | an agricultural method that incorporates holistic and ecological principles, often involving composting and astrological planting schedules
biodynamic urbanism | urban planning that integrates ecological cycles and natural processes into city design
bioethics | the study of ethical issues emerging from advances in biology and medicine
biogeochemical cycles | the movement and transformation of chemical elements and compounds between living organisms, the atmosphere, and the Earth's crust
biogeography | the study of the distribution of species and ecosystems in geographic space
biomass | organic material derived from plants and animals used as a renewable energy source, often utilized for heating, electricity generation, and as fuel
biomass energy | the energy derived from organic materials, particularly plants and plant-derived materials (AKA bioenergy)
biopolitics | the intersection of politics and biology, focusing on how governments regulate populations and individual bodies
bioregion | a natural area defined by its ecological characteristics rather than political boundaries
bioregionalism | a political, cultural, and ecological philosophy that emphasizes organizing human activity around bioregions
bioregions | regions based on ecological and geographical boundaries rather than arbitrary political lines
biosphere | the global sum of all ecosystems, representing the zone of life on Earth, where living organisms interact with their physical environment
biotechnology | any technological application that uses biological systems, living organisms, or derivatives thereof, to make or modify products or processes for specific use
birth deficit | a slowdown of births
blockbusting | a practice where real estate agents provoke fear in white homeowners to sell their properties cheaply as neighborhoods become racially integrated
blue economy | the new economic opportunities based on the ocean for SIDS
blue laws | laws that restrict certain activities on Sunday
Blue Revolution | the rapid growth and intensification of aquaculture
Book of Mormon | a sacred text of the Latter-day Saint movement, claimed to be a record of ancient American peoples and their dealings with God
boomburbs | rapidly-growing communities that are not the largest city in a metropolitan area (AKA boomburgs)
Borchert's transportation model | a theory that explains how the evolution of transportation technology throughout history has significantly impacted the growth and development patterns of American cities, dividing urban history into four epochs
borderland | areas that exist along the edges of political boundaries, often characterized by cultural exchange and conflict
borders | the official lines that define the boundaries of a state or territory, often associated with legal and political implications
Boserup's theory | more population increases the amount of work done
boundary delimitation | the process of legally defining and drawing the boundaries between states or territories
boundary permeability | the degree to which a boundary allows or restricts movement of people, goods, or information
bounds | the general boundaries or limits of a property, often described in relation to neighboring properties or landmarks
brain circulation | a phenomenon where skilled migrants move back and forth between their home and host countries, contributing to knowledge transfer
brain drain | when migration out of a country is made up of many highly-skilled people
brain gain | the phenomenon where a country or region experiences an influx of skilled and educated individuals, often as a result of migration from areas with fewer opportunities
branch | a large fundamental division within a religion
break of bulk | the procedure of transferring cargo from one mode of transportation to another
break-of-bulk point | a location where goods are transferred from one mode of transportation to another
bridging capital | social capital that connects people across different social groups
brownfield | a previously developed land that is not currently in use, often contaminated or polluted, requiring remediation before reuse
brownfield site | urban land that has been previously developed, abandoned, and now awaits new use
bubonic plague | an infectious disease caused by the bacterium Yersinia pestis, responsible for the Black Death in the 14th century
Buddha | a spiritual teacher and founder of Buddhism who achieved enlightenment (AKA Siddharta AKA "the enlightened one")
Buddhism | a spiritual tradition focused on personal spiritual development and the attainment of a deep insight into the true nature of life
buffer zone | an area that serves to separate two regions or conflicting zones (AKA buffer state)
built environment | the environment consisting of artifacts that humans have created
bulk-gaining industries | manufacturing industries where the final product weighs more or has a greater volume than the raw materials used to produce it (AKA weight-gaining industries AKA market-oriented industries AKA market-dependent industries)
bulk-reducing industry | a manufacturing industry where the final product weighs significantly less than the raw materials used to produce it
burgeoning | rapidly growing or expanding
cadastral map | a map that shows land ownership and property lines
cadastral survey | a detailed survey that documents the boundaries and ownership of land parcels, often used for land administration and property rights
California Gold Rush | a mass migration to California following the 1848 discovery of gold, attracting many prospectors and significantly accelerating California’s population and economic development
capital | the money invested in land, equipment, and machines
capital-intensive | requiring the investment of large sums of money
capital-intensive industry | an industry that requires large amounts of capital to produce goods or services
capitalism | an economic system in which private individuals or businesses own capital goods and are responsible for production and distribution
carbon equity zones | regions designated for balancing carbon emissions with offsetting practices to achieve neutrality
carbon footprint | the total amount of greenhouse gases produced directly and indirectly by an individual, organization, or community, often measured in carbon dioxide equivalents
carbon offset | a reduction in greenhouse gas emissions, such as planting trees or investing in renewable energy, to compensate for emissions produced elsewhere
carbon trading | a market-based approach to controlling pollution by providing economic incentives for reducing greenhouse gas emissions
carbon urbanism | urban planning that incorporates strategies to reduce carbon emissions and enhance sustainability
carceral geography | the study of the relationship between space and the penal system
Carl Ritter | one of the founders of modern geography who helped to establish it as an independent scientific discipline
Carl Sauer | one of the first to propose that the process of domestication was independently invented at many different times and locations
carrying capacity | the population a region can support without significant environmental deterioration
cartograms | maps that compare statistics of countries by changing their sizes to indicate the statistic
cartographers | creators of maps
cash crops | agricultural crops grown for sale rather than for personal consumption (AKA commercial crops)
caste system | a rigid class of societal structure
Catholicism | a branch of Christianity led by the Pope, characterized by its traditions and sacraments
Catholics | followers of the Roman Catholic Church, led by the Pope and characterized by sacraments, traditions, and the teachings of the Bible and Church doctrine
Caucasian language family | a proposed family of languages spoken in the Caucasus region
census | official count of the number of people in a defined area
census block | the smallest geographic unit used by the U.S. Census Bureau to collect and tabulate population data in the census
census tracts | contiguous geographic regions that function as the foundation of a census
center-pivot irrigation | irrigation in which watering equipment rotates around a pivot to dliver specific amounts of water, fertilizer, or pesticides to the field
central business district | the commercial heart of a city where transportation and services are focused (AKA CBD)
central place | a location where people go to receive goods and services
central-place theory | a geographical theory that explains the size and distribution of human settlements in a hierarchical manner
centrality | the importance of a location in relation to other locations in terms of accessibility and connectivity
centrifugal forces | forces that divide a group of people or region
centripetal forces | forces that unify a group of people or a region
centrism | a political or cultural viewpoint that emphasizes moderation and balance
chain migration | type of migration in which people move to a location because others have migrated there
charter group | the first group to establish cultural and religious customs in a space
childbearing age | ages 15-49
choke point | a place of physical congestion between wider regions of movement and interaction
choropleth maps | maps that use various colors or shades to show the location and distribution or spatial data
Christian Bible | the sacred scriptures of Christianity, divided into the Old Testament (shared with Judaism) and the New Testament
Christianity | a monotheistic religion based on the life and teachings of Jesus Christ
churches | buildings used for Christian worship, often characterized by specific architectural styles and serving as community centers
circular migration | when migrant workers go back and forth between their country of origin and destination country
circular phenomena | phenomena equally-spaced from a central point, forming a circle-type shape
circulation | temporary, repetitive movements that occur on a regular basis
citadel | the most fortified part of a city or town, essentially a stronghold or castle that served as the central point of defense and administration within an ancient urban settlement
city structure | the physical layout of a city, including the arrangement of neighborhoods, commercial areas, and public spaces
city-state | a sovereign state that encompasses a single city and its surrounding countryside
civic ecology | community-based environmental stewardship practices
civic engagements | the participation of citizens in political and community activities
climate | the long-term weather patterns in a region
climate adaptation | strategies and measures implemented to adjust to the impacts of climate change, enhancing resilience in urban and rural areas
climate change | long-term alterations in temperature, precipitation, and other atmospheric conditions, often attributed to human activity
climate enclaves | geographical areas with microclimates that differ significantly from surrounding regions
climate refugee | a person forced to leave their home due to climate-related impacts such as rising sea levels, extreme weather events, or drought
climate refugees | people who are forced to leave their homes due to climate-related issues like sea-level rise and extreme weather
climate region | a geographical area characterized by a distinct and consistent long-term weather pattern, defined by factors like temperature, precipitation, humidity, and wind patterns
climate resilience | the ability of individuals, communities, ecosystems, and infrastructure to anticipate, prepare for, respond to, and recover from the impacts of climate change
climatic microzones | small areas within a larger region that exhibit distinct climatic conditions due to topography or vegetation
climatic migration | population movement driven by climate-related factors
climatic zone | a region defined by its distinct climate characteristics, influencing agriculture, settlement patterns, and human activity
clustered phenomena | phenomena arranged in a group or concentrated area (AKA agglomerated phenomena)
clustered settlements | communities where homes and buildings are grouped closely together, often around a central feature, common in rural areas to foster social interaction and shared resources (AKA nucleated settlements)
clustering illusion | the perception that random events are grouped together in a non-random manner, often affecting decision-making
cohorts | the groups in the vertical age groups of a population pyramid
cohousing | a collaborative housing model where residents actively participate in the design and operation of their neighborhoods
Cold War | a period of diplomatic, political & military rivalry between the United States and the USSR
collective farming | a system of agricultural organization whereas farm laborers are not compensated via wages but rather provided a share of the farm's net productivity
collectivist cultures | cultures in which people are expected to conform to collective responsibility within the family and be obedient to elders
colonial CBD | the central business district developed by colonial powers, usually characterized by a grid-like street layout, tall buildings, and more modern infrastructure
colonial legacy | the long-lasting impacts and influences of colonial rule on former colonies
colonialism | a type of imperialism in which people move into and settle on the land of another country
coloniality | the enduring legacy of colonialism that continues to influence societies and structures
Columbian Exchange | the global movement of plants and animals between Afro-Eurasia and the Americas
command economy | an economic system in which the government controls all aspects of the economy, including production and distribution
commensal relationship | a situation in commercial areas where one business benefits from the presence of another business without significantly impacting the other business
commercial agriculture | large-scale farming operations focused on producing crops for sale and profit, often involving advanced technology and extensive land use
commercial gardening | growing fruits, vegetables, and flowers for sale near cities, common in warm climates like the Southeast U.S.
commercial spine | a central, elongated area within a city where primary commercial activity is concentrated
commodification | the process of turning goods, services, or ideas into commodities for sale
commodities | raw materials
commodity chain | a series of links connecting the many places of production and distribution resulting in a commodity that is then exchanged on the world market
commodity dependence | when 60+% of a country's exports are raw materials
community gardens | pieces of land where a group of people work together to grow food or flowers for their own use or for the benefit of the community
community-based solutions | solutions that increase the likelihood of success because they use local residents and are tailored to local needs
community-supported agriculture | a model in which consumers buy shares of a farm's harvest in advance, providing farmers with capital and ensuring fresh produce for participants (AKA CSA)
commuter belt | areas surrounding a city where residents travel into the city for work
commuter diaspora | a dispersed population that regularly commutes between distant locations for work or education
commuter enclaves | residential areas primarily inhabited by people who travel long distances to work in urban centers
commuter zone | areas where residents live but commute to a nearby city or urban center for work or services
commuting | the process of traveling from one’s residence to their place of work, often involving daily or regular movement
comparative advantage | the ability to produce a good or service at a lower cost than others
compass | a navigational instrument that shows directions relative to the Earth's magnetic poles
complementarity | the relationship between two places where one area has a surplus of a good or service that another area needs, creating a potential for trade or economic interaction between them
concentric zone model | an urban land use model that depicts cities as a series of concentric circles, with different zones for residential, commercial, and industrial use
concepts | key vocabulary, ideas, and building blocks that geographers use to describe our world
Confucianism | a philosophical system based on Confucius' teachings, emphasizing ethics and social harmony
Confucius | an ancient Chinese philosopher whose teachings focus on ethics, social harmony, and proper governance, influencing East Asian culture (AKA Kong Fuzi)
Conic projection | a map for midlatitude regions that preserves size and shape but distorts direction
connectivity | how well two locations are tied together by roads or other links
conquest theory | the theory that explains the diffusion of Proto-Indo-European languages through the conquest of other groups from the European regions around the Black and Caspian Seas
consequent boundary | a type of subsequent boundary that takes into account the differences that exist within a cultural landscape
conservation | the responsible management of natural resources to prevent exploitation, degradation, and extinction
conservation easement | a voluntary, legal agreement that permanently limits uses of the land in order to protect its conservation values
consevration corridors | protected pathways connecting natural habitats to support biodiversity and wildlife movement
constitutional monarchy | a form of government that typically has a king or queen as head of state and a constitution that limits the monarch's power
contagious diffusion | the spread of cultural traits outward from the hearth through contact among people
containerization | the system in which goods are loaded into a standardized shipping unit
contemporary agriculture | current agricultural practices that include technology integration, sustainable farming, and organic methods in response to global food demands
contemporary architecture | a more dramatic extension of postmodern architecture
contested boundaries | boundaries between regions that are under dispute
contiguous zone | a sea area extending 12 to 24 nautical miles from a country's coast, where the country can enforce laws related to customs, immigration, and pollution
contraception | methods used to prevent pregnancy during or following sexual intercourse (AKA birth control)
controlled boundary | a boundary with checkpoints where a passport or visa are required to enter the country
conurbation | an uninterrupted urban area made of towns, suburbs and cities
convergent landscapes | areas where multiple cultural, economic, or ecological influences intersect, creating hybrid spaces
core countries | nations with advanced economies and high levels of industrialization, often dominating global trade and finance
corporate parks | planned areas of land specifically designed for the development of office buildings and commercial businesses (AKA business parks)
cottage industries | small home-based businesses that make goods
cottage industry | small-scale manufacturing or production typically conducted in homes or small workshops, often involving crafts or artisanal goods
countermigration | flow of movement in the opposite direction of a migration
counterurbanization | the process of population movement from urban areas to rural areas, often for lifestyle reasons (AKA deindustrialization AKA ruralization)
country | any political entity that is independent from the control of any other entity
cracking | dispersing a group of like-minded voters into several districts to prevent a majority
creative class | a social class that is engaged in creative industries, including art, technology, and entrepreneurship, driving economic innovation
creole language | a combination of two languages with a formal structure and vocabulary
critical geography | an approach to geography that examines the social, political, and economic processes shaping space and place
critical geopolitics | the study of how political decisions and power relations shape geographic understandings
crop gap | the crop yield difference between male and female farmers
crop rotation | an agricultural practice that involves alternating the type of crop grown in a particular field to maintain soil health and prevent depletion of nutrients
crude birth rate | the number of live births per year for each 1,000 people (AKA CBR)
crude death rate | the number of deaths in a given population per 1,000 people per year (AKA CDR)
Crusades | a series of religious wars in the medieval period aimed at reclaiming the Holy Land from Muslim rule (AKA holy wars)
cultural adaptation | the process of adjusting and modifying cultural practices to fit a new environment or society
cultural appropriation | action of adopting traits, icons, or elements from other cultures
cultural artifact | representation of values, beliefs, behaviors, and traditions that make up a culture
cultural boundaries | boundaries that divide people according to linguistic, religious, ethnic, or cultural divisions
cultural complex | a series of interrelated cultural traits
cultural consequent boundary | a boundary that is drawn taking language, ethnicity, religion, and cultural traits into account
cultural convergence | the homogenization of cultures as interaction between them increases
cultural core | the territorial nucleus from which a country grows in area and over time
cultural diffusion | the spread of cultural beliefs and social activities from one group to another (AKA cultural exchange)
cultural divergence | cultures changing over time while distance, time, physical separation, and modern technology creates change
cultural ecology | the study of how humans adapt to the environment
cultural flux zones | regions experiencing rapid cultural change due to migration, globalization, or technological advancement
cultural homogenization | the process by which local cultures are transformed or absorbed by dominant outside cultures
cultural hybridization | the blending of different cultural elements to create new forms
cultural imperialism | the imposition of one culture's beliefs and practices on another culture, often through media and economic influence
cultural indicators | statistics that represent cultural values, practices, and beliefs within a society
cultural landscape | unique built environments coming from different places
cultural mosaicscape | a landscape characterized by the coexistence of multiple cultural influences in close proximity
cultural norms | the shared standards and patterns that guide the behavior of a group of people
cultural palimpsest | a landscape where traces of previous cultural influences are still visible beneath the current cultural layer
cultural pluralism | the coexistence of multiple cultural groups within a society, each maintaining its unique cultural identity
cultural region | an area defined by shared cultural traits, such as language, religion, or customs
cultural regions | regions based on characteristics such as religion, language, and ethnicity
cultural relativism | concept that peoples’ beliefs should be understood from others’ perspectives
cultural resilience | the ability of a culture to adapt and thrive despite challenges
cultural traits | all visible and invisible elements of a culture
cultural transmission | the way cultural beliefs and practices are passed from one generation to the next
culture | all of a group’s learned behaviors, actions, beliefs, and objects
culture hearth | the area in which a unique culture or a specific trait develops
culture realms | large geographical areas that include several cultural regions and are characterized by a high degree of cultural homogeneity
custom | a traditional and widely accepted way of behaving or doing something specific to a particular society
Cyrillic script | an alphabet used for various Slavic languages, including Russian
Cyrus McCormick | the inventor of the McCormick reaper
dairy farming | raising cows for milk and dairy products, common in cooler regions like the Northeast U.S. and Europe
data aggregation | organization of data into different scales
data-driven models | models that use mathematical formulas to explain how the world works
debt-for-nature swap | an agreement in which a portion of a developing country's foreign debt is forgiven in exchange for local investments in environmental conservation
decarbonized corridors | transportation routes designed to minimize carbon emissions through the use of renewable energy and sustainable infrastructure
decay curve | a graphical representation showing the decline in interaction or influence of a phenomenon over time or distance
decaying city | a city experiencing decline in population and economic activity
decentralization | the distribution of authority or functions from a central authority to regional or local authorities
decentralized urbanism | urban development focused on spreading out services and infrastructure
decolonization | the process by which colonies gain independence from colonial powers
deepwater ports | harbors capable of accommodating large ships, often critical for global trade networks
defensive urbanism | architectural and design strategies aimed at deterring crime or unwanted behavior in public spaces
defined boundary | a boundary established by a legal document that divides one entity from another
definitional boundary disputes | boundary disputes in which two or more parties disagree on how the boundary functions
deforestation | the removal of large tracts of forest
deglobalized spaces | areas intentionally disconnected from global economic or cultural networks to preserve local identity
deindustrialization | the decline of industrial activity in a region or economy
deindustrialized peripheries | regions that experience economic decline due to the loss of industrial activity and investment
delimited boundary | a boundary drawn on a map by a cartographer to show the limits of a space
demarcated boundary | a boundary identified by physical objects placed on the landscape
demarcation | how a border is labeled on the physical landscape
demilitarization | the process of countries reducing the size of their armed forces
demilitarized zone | a geographical area where military forces and equipment are officially prohibited (AKA DMZ)
democratization | the transition from autocracy to more representative forms of politics
demographic aging index | a measure comparing the number of elderly people to younger people in a population
demographic balancing equation | an equation that calculates population change from year to year
demographic dividend | the economic growth potential that can result from shifts in a population’s age structure, primarily when the working-age population is larger than the non-working-age population
demographic inversion | a reversal of population trends
demographic momentum | the tendency for a population to continue growing even after fertility rates have declined
demographic transition model | a model that depicts five typical stages of population change that countries experience (AKA DTM)
demographics | data about the structures and characteristics of human populations
demography | the scientific study of population characteristics and trends
denomination | a separate religious organization that unites multiple local congregations
density | number of things in a specific area
density gradient | the change in density in an urban area as one moves from the center to the periphery
dependency model | an economic and social theory that suggests that the development of some countries is contingent upon the exploitation and underdevelopment of others
dependency ratio | a value that compares the working to the nonworking parts of a population (AKA DR)
